[113.8869506521739, 22.591111695652177]
[113.88715375609756, 22.498696463414632]
[113.88796068873518, 22.56532278656126]
[113.88860033333333, 22.577357848484848]
[113.88887397222221, 22.563246902777777]
[113.88893544444441, 22.56308911111111]
[113.88896242857143, 22.564405571428573]
[113.88896361538465, 22.582151769230773]
[113.88933899999998, 22.559431043478263]
[113.88929809523809, 22.563921619047612]
[113.88929875999999, 22.581840000000003]
[113.88975670337301, 22.563637976190474]
[113.88951816666665, 22.583757023809518]
[113.88968604347828, 22.581660826086956]
[113.89003472500005, 22.563235624999997]
[113.8905795238095, 22.56641042857143]
[113.8907504347826, 22.56260160869565]
[113.89074278260867, 22.566229608695657]
[113.89080849069512, 22.589727870210726]
[113.8909582666667, 22.562435766666674]
[113.89110611363634, 22.56224468181818]
[113.89137788293651, 22.56207021296296]
[113.89127432000001, 22.57467272]
[113.89147385106385, 22.561917638297878]
[113.89150357142857, 22.589956047619044]
[113.8918166190476, 22.50417804761905]
[113.89185060714287, 22.56157117857143]
[113.89183772151874, 22.569860949367097]
[113.89220092105265, 22.50484894736842]
[113.89254904651165, 22.505502116279068]
[113.89272223076922, 22.560735615384615]
[113.89381239130434, 22.568046217391306]
[113.89381089655173, 22.573548379310346]
[113.89398854545456, 22.5652353030303]
[113.89414198990028, 22.573887947165243]
[113.89405860833332, 22.577188983333336]
[113.89417021568626, 22.56507676470589]
[113.89425936542031, 22.567633763278717]
[113.89435761904761, 22.559438476190476]
[113.89433481578943, 22.564915842105265]
[113.894456125, 22.567410548611115]
[113.89433140909091, 22.58397809090909]
[113.89458625987736, 22.56463570885038]
[113.8946988636905, 22.574345250297625]
[113.89487917908353, 22.567032991154267]
[113.89472652380954, 22.571233904761897]
[113.89508770370368, 22.566754370370365]
[113.8950870909091, 22.570895954545453]
[113.89527513636362, 22.56657490909091]
[113.89527706249997, 22.57072909375]
[113.8954186875, 22.558769843750003]
[113.8955389795833, 22.57048787597222]
[113.89566304, 22.575746261428577]
[113.89597364864865, 22.569409270270267]
[113.89595652380955, 22.57518604761905]
[113.89593213157895, 22.58233534210527]
[113.89614529629627, 22.565749]
[113.89666980000004, 22.565244919999994]
[113.89686317391305, 22.56506686956522]
[113.89722661904761, 22.56490466666667]
[113.89724029166666, 22.576528458333332]
[113.89757463636361, 22.57369695454545]
