[113.90123397297297, 22.514106837837836]
[113.90124165116282, 22.514284]
[113.90127335897435, 22.564582615384612]
[113.90124907894737, 22.564691223684218]
[113.90120985714285, 22.564843523809525]
[113.90141390243903, 22.564543219512196]
[113.90179195238096, 22.564195523809527]
[113.9019724814815, 22.56405892592593]
[113.90362318604652, 22.529863720930233]
[113.90357653846159, 22.530031173076914]
[113.90357150666665, 22.53020546666665]
[113.90356168531468, 22.53035098601399]
[113.90355393333338, 22.5305178]
[113.90361023999999, 22.561894279999997]
[113.90370869565217, 22.52967617391304]
[113.90375652173915, 22.531546652173915]
[113.90451686956517, 22.517420130434783]
[113.90503955172414, 22.55460448275862]
[113.90505756923072, 22.55477452307692]
[113.90508109701483, 22.554928373134313]
[113.90508239473688, 22.55506921052632]
[113.90504299999996, 22.555259354838714]
[113.90504284615388, 22.55542688461538]
[113.90504759016393, 22.555581918032786]
[113.90501645454539, 22.55572912121212]
[113.9051422272727, 22.554955454545453]
[113.90514955555552, 22.555083370370376]
[113.90539631578947, 22.555426710526312]
[113.90575340476191, 22.55357195238095]
[113.90590689655174, 22.55354851724137]
[113.90612808571431, 22.55356137142857]
[113.90628192857142, 22.553598535714286]
[113.9064787241379, 22.553587724137927]
[113.90646728571429, 22.55374785714286]
[113.90662263636365, 22.55344763636364]
[113.90663518181819, 22.553610939393938]
[113.90664857575759, 22.55373687878787]
[113.9067842857143, 22.553249571428566]
[113.90678558333333, 22.553728583333335]
[113.90700154166665, 22.535318583333332]
[113.90717539393938, 22.531204424242432]
[113.90715533333332, 22.535322714285712]
[113.9077372758621, 22.51493358620689]
[113.90788690697676, 22.51493581395349]
[113.90788786206897, 22.521252241379315]
[113.9081020882353, 22.47961326470588]
[113.90813553284661, 22.479720124087596]
[113.90807497222221, 22.514909333333335]
[113.90806403846153, 22.521243730769225]
[113.90822860869562, 22.47962104347826]
[113.90824509398496, 22.479760612781977]
[113.9083010227272, 22.47985829545454]
[113.90828117142857, 22.480247685714293]
[113.9082258695652, 22.480380130434774]
[113.90827625925925, 22.531230074074074]
[113.90844407692309, 22.47977578846153]
[113.9084283230769, 22.479899461538462]
[113.90842349514564, 22.480061572815554]
