[113.87654149999999, 22.558804318181817]
[113.87656423076922, 22.563549884615384]
[113.87656580952381, 22.586980333333333]
[113.87696421428572, 22.584674892857148]
[113.87695378260864, 22.584807521739133]
[113.87710228000002, 22.567899200000003]
[113.8771125, 22.58466505172414]
[113.87707860000005, 22.58479483636363]
[113.8772603214286, 22.58231914285714]
[113.87728962790696, 22.58450258139534]
[113.87723741666662, 22.584643791666668]
[113.87745619047618, 22.584320904761906]
[113.87818280952384, 22.583516666666664]
[113.87816151851855, 22.583648259259267]
[113.87837072727274, 22.568887363636364]
[113.87890699999998, 22.580014136363644]
[113.87892096000002, 22.582821360000004]
[113.87907494545453, 22.57983799999999]
[113.87908727272725, 22.582675]
[113.879235030303, 22.579673848484852]
[113.87926013888887, 22.582510138888892]
[113.87924760869564, 22.582617347826083]
[113.87942390909089, 22.58645395454545]
[113.87979914285717, 22.592944047619046]
[113.87995500000002, 22.57964215384616]
[113.87998457142855, 22.589804047619047]
[113.88014517391306, 22.56655921739131]
[113.88012586956523, 22.589949695652173]
[113.8803406451613, 22.581675096774195]
[113.88034823076926, 22.590122884615386]
[113.88052463636363, 22.57253831818182]
[113.88049615384612, 22.59029019230769]
[113.88072568965518, 22.592632448275857]
[113.88089371428573, 22.593092666666667]
[113.88104966666667, 22.593105370370367]
[113.8810503870968, 22.602747000000004]
[113.88119138461538, 22.584443769230766]
[113.88141187499998, 22.57169325]
[113.88141968750001, 22.58430449999999]
[113.88141572727274, 22.584490954545455]
[113.88198208333334, 22.580373666666663]
[113.88194134782609, 22.583500695652173]
[113.88209807692304, 22.58034838461539]
[113.88212895454544, 22.5833295]
[113.88234447826089, 22.582981695652176]
[113.88247445238096, 22.582836761904765]
[113.88247534615381, 22.582958423076924]
[113.88303705405407, 22.558129783783784]
[113.88304582051282, 22.558412974358976]
[113.88303365217392, 22.582316217391302]
[113.88319745833331, 22.496706791666664]
[113.88318538888886, 22.558142972222225]
[113.88322741176475, 22.558229431372546]
[113.88318526086955, 22.56425743478261]
[113.8833527096774, 22.558290000000007]
[113.88340385714282, 22.582000657142864]
[113.88354104, 22.55844468]
[113.88356766666662, 22.581840968253953]
[113.88353947222225, 22.581989305555556]
[113.88377453571425, 22.581668821428565]
[113.88396913636366, 22.581517954545458]
[113.88392333333336, 22.58808666666666]
[113.88410127027025, 22.572552351351355]
[113.88411062962962, 22.58150714814814]
[113.88428270833332, 22.581340999999995]
[113.88446034615383, 22.586972923076925]
[113.88465092, 22.559438320000005]
[113.88464993548389, 22.587133516129033]
[113.88485592857145, 22.565940535714283]
[113.88484333333332, 22.58729729166667]
[113.88498962962962, 22.565929777777775]
[113.88499123809524, 22.566044428571423]
[113.8850380294118, 22.580839352941172]
[113.88518495454545, 22.57669781818182]
[113.88517011428571, 22.580657828571425]
[113.88534545454544, 22.587644863636363]
[113.885572, 22.587801321428564]
[113.88571306060605, 22.587802606060606]
[113.88592277272727, 22.58795413636364]
[113.88607408571427, 22.587957257142854]
[113.88626904545454, 22.579686272727272]
[113.88645628571427, 22.561091333333334]
[113.88656809999998, 22.561073975000003]
[113.8869506521739, 22.591111695652177]
[113.88715375609756, 22.498696463414632]
[113.88788869565218, 22.565390391304344]
[113.88803268181819, 22.56525518181818]
[113.88860033333333, 22.577357848484848]
[113.88876538888891, 22.563268583333336]
[113.88893544444441, 22.56308911111111]
[113.88898255555551, 22.563225222222222]
[113.88896242857143, 22.564405571428573]
[113.88896361538465, 22.582151769230773]
[113.88933899999998, 22.559431043478263]
[113.88929809523809, 22.563921619047612]
[113.88929875999999, 22.581840000000003]
[113.88950161904764, 22.563572714285716]
[113.88952485714283, 22.583689047619043]
[113.88951147619048, 22.583824999999997]
[113.88967935714287, 22.563578976190477]
[113.88968604347828, 22.581660826086956]
[113.8898452142857, 22.563436499999998]
[113.88983342857141, 22.5635864047619]
[113.88981889285711, 22.563754178571426]
[113.88986170833333, 22.563899083333325]
[113.89003472500005, 22.563235624999997]
[113.8905795238095, 22.56641042857143]
[113.8907504347826, 22.56260160869565]
[113.89074278260867, 22.566229608695657]
[113.89074566666669, 22.589644791666668]
[113.89077935714286, 22.589772749999998]
[113.8909582666667, 22.562435766666674]
[113.89090044827584, 22.589766068965517]
[113.89110611363634, 22.56224468181818]
[113.89129632142856, 22.562090499999993]
[113.89127432000001, 22.57467272]
[113.89147385106385, 22.561917638297878]
[113.89145944444446, 22.56204992592593]
[113.89150357142857, 22.589956047619044]
[113.8918166190476, 22.50417804761905]
[113.89185060714287, 22.56157117857143]
[113.89183772151874, 22.569860949367097]
[113.89220092105265, 22.50484894736842]
[113.89254904651165, 22.505502116279068]
[113.89272223076922, 22.560735615384615]
[113.89381239130434, 22.568046217391306]
[113.89381089655173, 22.573548379310346]
[113.89398854545456, 22.5652353030303]
[113.89399106666664, 22.57372164444444]
[113.89402991666671, 22.57384145000001]
[113.89398413333333, 22.57718546666667]
[113.89417021568626, 22.56507676470589]
[113.89420030909092, 22.567583272727276]
[113.89417844444444, 22.56771651851852]
